Provinsi,Nanggroe Aceh Darussalam,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Kepulauan Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2013,1482000,4148769,1581883,1930524,1127293,2600700,618318,2716551,455109,681632,3793916,15687472,11745654,0,0,4001594,1372673,1468292,1400383‬,1519405,834800‬,1362500,1174473,200714,821260,944335,2679898,720568,366279,388347,498828,341528,270531,1035321
2014,1526600,4289246,1601783,1845537,1158921,2638161,628687,2764856,465068,718368,3871848,15925718,11798960,15434400,0,4136683,1375510,1542214,1423830,1556045,866801‬,1386645,1214309,210782,835914,959860,2719048,742042,373674,399639,507715,348809,277556,1081806
2015,1570958,4347741,1623370,1042105,1189339,2674976,638965,2779964,475083,754058,3871848,16160949,11835228,1301300,14307357,4267500,1351824,1491011,1444613‬,1316356,898370,1422459,1253438,220975,844147,975252,2755194,763130,380762,410604,516621,356065,284641,1103800
2016,1614902,4403495,1645732,2145005,1218900,2785418,665325,2851444,485129,788589,4013930,16392691,11850522,810186,14338512,4393633,1400995,1636010,1654388,1624830‬,929339,1449700,1291160,231249,851849,990516,2788226,783695,387584,421197,525527,363283,291774,1135800
2017,1659205,4454432,1667900,2269255,1247926,2841766,659181,2889171,495180,822840,4082317,16852352,11851162,0,14352955,4516028,1416691,1632040,1482951‬,1657316‬,959860‬,1475423,1328050,241570,859382,1005639,2819253,803798,394307,431447,534443,370460,298956,1166600
2018,1704071,4501958,1690638,2338508,1276642,2895196,669076,2923592,527764,855809,4148400,17114907,11844051,1340309,14355600,4634969,1600900,1645238,1500529,1689153,989000,1499749,1362919,251834,866847,1039091,2848723,823510,401010,441470,543366,377596,306170,1183402
