Provinsi,Nanggroe Aceh Darussalam,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Kepulauan Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2013,1362500,3528547,1291585,1679052,897302,2137600,494837,2055134,358246,495053,2774015,7761049,7754574,880500.0,8934872,3204413,551001,1243753,1248610,1269145,661600,999715,895360,159754,582409,730326,2186202,639729,299871,331772,436472,298835,241517,892216
2014,1370000,3611115,1303385,1645530,899132,2168397,503138,2051630,366080,486377,2705008,7878966,7792372,880500.0,8934872,3218401,528975,1248636,1269509,1273326,666897,1017433,900881,163370,589187,742335,2208161,649192,303811,337475,444248,305206,247791,864827
2015,1376823,3628273,1313191,814521,904373,2198656,511362,2103094,373961,480829,2705008,7995347,7834730,882900.0,8934872,3230188,585048,1255252,1308593‬,1277283,671704,1005993,907477,167260,591720,754241,2228192,658649,307637,343185,452036,311552,254119,910500
2016,1383712,3645268,1321043,1817924,909600,2120714,500488,2043833,381863,478913,2579063,8110003,788495,883767.3333333334,8954342,3240781,601832,1262419,1339782‬,1281914,677442,1010600,914231,171307,594352,766047,2255556,668424,311314,348926,459832,317870,260492,919100
2017,1390083,3664861,1329735,1774788,915559,2118424,527545,1988504,389773,479418,2519225,8019117,7938970,884634.6666666666,8977065,3249836,563287,1255739,1371904‬,1286325,682540,1015789,920555,175292,596928,777745,2262639,678480,314504,354199,467634,324150,266908,927400
2018,1395096,3684048,1337023,1795838,920416,2115905,535463,2037479,372142,482435,2460286,12207482,7988346,885502.0,8994500,3255678,654019,1276766,1404040,1289430,687100,1021096,927504,179518,598713,755880,2275226,688365,316924,358930,475440,330393,273352,893172
