Provinsi,Nanggroe Aceh Darussalam,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Kepulauan Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2013,439400,1337678,642087,413689,305188,798200,173969,895126,131856,112684,956203,5188616,5349314,672400.0,4483396,918366,580600,488429,534962,457358‬,189100,371537,256321,45946,324210,292611,1021253,216344,111473,249120,134186,91872,52043,145108
2014,459500,1430421,664799,385221,329835,809552,176887,931669,134738,120609,1011604,5267507,5559734,672400.0,4483396,977284,598700,536625,614890‬,480340,200132,378111,275823,50269,339900,297424,1052078,226251,116940,116641,136577,93831,53392,145108
2015,480144,1497932,687829,258764,348659,820851,179777,916017,137636,129076,1069365,5345372,5775531,691600.0,4483396,1040050,617700,555595,567834‬,504110‬,211952,412107,296430,54940,353576,302193,1084393,236572,122576,120394,138969,95780,54754,167800
2016,502518,1568540,711438,473926,368500,915194,202632,1012161,140542,138298,1130700,5422088,6001679,712604.6666666666,4640440,1108004,639300,575705,586084,529196,224828,434500,318540,60043,367774,306925,1119210,247542,128515,124519,141368,97724,56128,183000
2017,525479,1640253,734991,573342,389127,957609,215469,1055767,143452,148174,1194172,6265422,6231450,733609.3333333334,7068543,1179741,661400,596354,605069,554980‬,228497‬,457822,341761,65508,382109,311612,1155393,258941,134630,128916,143764,99653,57508,199500
2018,549163,1713065,758560,611740,410384,1001273,182251,1101068,169414,158821,1259995,6561260,6464134,754614.0,7311000,1255562,685100,617665,624750,581470,252600,482248,366121,71387,397714,361094,1193226,270812,140955,133634,146167,101575,58895,322365
