Provinsi,Nanggroe Aceh Darussalam,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Kepulauan Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2013,1527300,4311313,1550921,1905907,987251,2292200,527233,2265321,369912,572004,2445814,16703752,8414797,787100,0,3328118,1014100,1429828,1770012‬,1395485,699200,1120733,949690,188560,615648,818216,2454694,820072,320367,401012,558908,382662,264202,962064
2014,1550700,4436069,1561915,1849953,956533,2325385,536076,2278036,377995,592061,2486850,16957477,8371597,795300,0,3372509,1018100,1446320,1799637‬,1406382‬,706028,1140601,960419,193787,621603,831664,2452876,830596,321208,404335,568867,390821,271070,999306
2015,1574028,4463851,1571899,1981101,959681,2357832,544840,2318193,386133,609080,2486850,17207901,8328652,803400,8894409,3417496,1019000,1454708,1799021,1416811‬,713009,1149234,969293,198761,622675,845003,2452525,841189,322262,407979,578841,398948,273473,967300
2016,1595116,4485608,1581315,2064116,961600,2339575,536348,2297703,394293,622369,2553935,17454607,8282399,810200,8952546,3460730,1018800,1461801,1813199‬,1425798,718583,11600800,977301,203734,622946,858227,2452383,851347,323352,411836,588819,407035,284968,969500
2017,1614699,4502601,1588863,2040526,962405,2349184,562074,2303776,402460,632262,2578521,16900936,8236283,816300,8894409,3502555,1015200,1468088,1827378‬,1433878‬,724377,1170760,985083,208688,622609,871329,2453009,861197,324749,416399,598812,415079,291989,971700
2018,1632984,4516320,1595856,2068823,962830,2357946,570510,2308346,390553,639456,2598948,12800212,8194304,822400,8840496,3543527,1010900,1474018,1842200‬,1441811‬,730600,1179602,992291,213668,622118,854339,2454795,870967,326603,421520,608801,423068,299041,923587
